Frame,Normal_X,Normal_Y,Normal_Z,Angle_deg,Visible_Area_m2,InlierCount,IsLargest,RotationAxis_X,RotationAxis_Y,RotationAxis_Z
1,0.01802973261930253,-0.7186435261705696,-0.6951448849231406,45.961,1.105544,34282,True,-0.9790638117077634,0.0665305352200112,0.1923739600039576
2,0.017689202077195435,-0.12116529796243405,-0.992474716403167,7.034,0.966597,38939,False,-0.9790638117077634,0.0665305352200112,0.1923739600039576
3,0.02422686504780527,0.32004079864095936,-0.9470939479350571,18.721,0.829747,38591,False,-0.9790638117077634,0.0665305352200112,0.1923739600039576
4,0.06888855499803938,0.541938823816228,-0.837589803084401,33.114,0.493823,23192,False,-0.9790638117077634,0.0665305352200112,0.1923739600039576
5,-0.011364481080488065,-0.2654594185211236,-0.9640550532455074,15.409,0.572155,39067,False,-0.9790638117077634,0.0665305352200112,0.1923739600039576
6,-0.05105413787824707,-0.46319367787211985,-0.8847853365561659,27.775,0.690801,38524,False,-0.9790638117077634,0.0665305352200112,0.1923739600039576
7,0.01133390285819745,-0.48855711862006984,-0.8724582995717652,29.254,0.40963,34857,False,-0.9790638117077634,0.0665305352200112,0.1923739600039576
