Frame,Normal_X,Normal_Y,Normal_Z,Angle_deg,Visible_Area_m2,InlierCount,IsLargest
1,0.018980526357519515,-0.7177091458817991,-0.6960842776106999,45.886,1.109092,35741,True
2,0.01822618380498528,-0.11978558794690278,-0.992632469317885,6.959,0.965797,38418,False
3,0.023687867220148772,0.3205382484013732,-0.9469393413827204,18.748,0.829844,37449,False
4,0.04009321156794525,0.54328411485945,-0.8385910236387889,33.008,0.57801,23538,False
5,-0.010625481552249258,-0.2700228286475838,-0.9627952903659949,15.678,0.572155,39786,False
6,-0.05475271764988856,-0.46189369514447565,-0.8852436694468555,27.718,0.67711,36698,False
7,0.011203787913942317,-0.4889324611149199,-0.8722496910887884,29.279,0.411747,35092,False
